alert_id,signature,proto,src_bytes,dst_bytes,duration_s,failed_logins,same_srv_rate,dst_host_count,severity,label
A00025,dns-query-normal,TCP,4575,13780,22.439,1,0.479,17,1,benign
A00026,dns-query-normal,TCP,4693,2351,12.013,1,0.306,25,1,benign
A00027,policy-allowed-http,UDP,2445,6723,6.564,1,0.395,17,2,benign
A00028,et-malware-c2-beacon,TCP,245895,4713,12.58,33,0.827,71,4,attack
A00029,et-dos-synflood,UDP,133223,3260,15.559,17,0.669,436,4,attack
A00030,dns-query-normal,TCP,2417,1472,4.126,1,0.429,16,1,benign
A00031,icmp-echo-reply,TCP,3791,6223,20.309,0,0.139,25,1,benign
A00032,et-exploit-sql-injection,UDP,304898,7087,5.298,8,0.954,68,5,attack
A00033,icmp-echo-reply,UDP,2025,2519,13.842,0,0.217,38,2,benign
A00034,dns-query-normal,TCP,2433,2465,18.281,0,0.359,20,2,benign
A00035,policy-allowed-http,TCP,1281,1127,27.446,0,0.163,2,2,benign
A00036,tls-handshake-ok,TCP,2141,955,8.919,0,0.119,31,2,benign
A00037,et-bruteforce-ssh,TCP,165023,5056,28.143,18,0.837,147,5,attack
A00038,icmp-echo-reply,TCP,4489,4422,5.459,0,0.339,7,2,benign
A00039,icmp-echo-reply,TCP,2152,2073,2.258,1,0.155,4,1,benign
A00040,et-scan-portscan,TCP,74151,5135,6.362,28,0.77,491,4,attack
A00041,et-malware-c2-beacon,TCP,41942,5177,29.137,38,0.696,305,5,attack
A00042,et-dos-synflood,TCP,142974,2432,1.616,8,0.848,381,5,attack
A00043,et-bruteforce-ssh,TCP,238647,3321,23.439,32,0.822,147,3,attack
A00044,et-bruteforce-ssh,TCP,111812,1023,0.427,39,0.856,131,3,attack
A00045,et-dos-synflood,UDP,315633,630,3.6,12,0.782,273,5,attack
A00046,tls-handshake-ok,TCP,3781,1393,6.778,0,0.065,37,2,benign
A00047,et-dos-synflood,TCP,350635,2279,18.967,22,0.999,80,4,attack
A00048,et-dos-synflood,TCP,63495,1460,9.301,23,0.861,488,5,attack
A00049,tls-handshake-ok,TCP,572,2506,11.08,0,0.46,33,2,benign
A00050,et-bruteforce-ssh,TCP,68651,6070,29.527,24,0.912,326,5,attack
A00051,tls-handshake-ok,TCP,1433,1965,1.736,1,0.415,16,1,benign
A00052,et-exploit-sql-injection,TCP,164938,4429,7.446,39,0.785,215,3,attack
A00053,icmp-echo-reply,TCP,1638,3041,1.512,1,0.054,18,2,benign
A00054,policy-allowed-http,TCP,4327,6721,1.733,1,0.493,34,1,benign
A00055,dns-query-normal,TCP,1411,1054,20.163,0,0.138,32,1,benign
A00056,et-bruteforce-ssh,TCP,590169,2657,5.428,8,0.955,248,3,attack
A00057,et-malware-c2-beacon,TCP,119980,3239,17.823,23,0.755,462,3,attack
A00058,et-scan-portscan,ICMP,33304,12863,24.6,10,0.676,90,5,attack
A00059,et-dos-synflood,TCP,168717,4170,18.454,16,0.878,339,4,attack
A00060,et-bruteforce-ssh,UDP,85120,1747,13.064,16,0.823,494,5,attack
A00061,icmp-echo-reply,TCP,2010,2084,19.623,1,0.381,17,1,benign
A00062,dns-query-normal,ICMP,2739,11830,11.351,1,0.212,24,2,benign
A00063,et-scan-portscan,TCP,64499,6456,21.783,28,0.855,64,5,attack
A00064,icmp-echo-reply,TCP,2269,1820,15.989,0,0.257,35,1,benign
A00065,icmp-echo-reply,ICMP,3359,4099,28.343,1,0.494,34,2,benign
A00066,icmp-echo-reply,TCP,3515,721,24.684,0,0.145,34,1,benign
A00067,policy-allowed-http,TCP,3693,3683,7.255,0,0.263,5,1,benign
A00068,icmp-echo-reply,TCP,750,4289,0.498,1,0.44,6,1,benign
A00069,et-scan-portscan,TCP,58996,2231,16.762,23,0.788,207,4,attack
A00070,tls-handshake-ok,TCP,3755,5022,2.767,1,0.419,11,2,benign
A00071,et-scan-portscan,TCP,285183,2574,17.104,4,0.988,190,4,attack
A00072,dns-query-normal,UDP,2882,3773,12.642,1,0.057,6,1,benign
A00073,policy-allowed-http,TCP,2467,2778,2.797,0,0.448,3,1,benign
A00074,dns-query-normal,TCP,1349,1595,12.384,1,0.452,15,2,benign
A00075,icmp-echo-reply,TCP,1457,2556,22.513,0,0.22,31,2,benign
A00076,dns-query-normal,TCP,4946,2645,7.026,0,0.345,9,1,benign
A00077,et-dos-synflood,TCP,21480,5157,20.996,22,0.681,162,4,attack
A00078,et-exploit-sql-injection,UDP,157043,2833,17.639,3,0.795,301,4,attack
A00079,tls-handshake-ok,TCP,3419,6277,14.697,1,0.051,10,1,benign
A00080,policy-allowed-http,TCP,1732,5253,20.956,0,0.081,24,1,benign
A00081,et-scan-portscan,TCP,249447,3906,27.3,35,0.718,106,3,attack
A00082,et-exploit-sql-injection,TCP,58805,1042,28.567,31,0.683,351,3,attack
A00083,tls-handshake-ok,TCP,2135,1817,5.774,0,0.423,3,1,benign
A00084,policy-allowed-http,TCP,2368,3218,17.084,1,0.201,27,2,benign
A00085,policy-allowed-http,UDP,655,5334,8.518,0,0.112,21,1,benign
A00086,policy-allowed-http,TCP,2685,3907,13.427,0,0.112,13,2,benign
A00087,policy-allowed-http,TCP,1208,6882,27.385,1,0.244,5,2,benign
A00088,et-dos-synflood,UDP,100496,1285,28.881,21,0.868,395,5,attack
A00089,et-bruteforce-ssh,TCP,115746,3586,15.377,14,0.814,328,4,attack
A00090,dns-query-normal,TCP,3677,6060,7.631,1,0.112,16,2,benign
A00091,icmp-echo-reply,TCP,1379,2556,29.084,1,0.271,21,1,benign
A00092,icmp-echo-reply,UDP,4595,2954,2.115,1,0.265,36,2,benign
A00093,dns-query-normal,TCP,2759,1076,27.476,1,0.095,35,2,benign
A00094,icmp-echo-reply,UDP,1940,5969,9.238,0,0.052,34,1,benign
A00095,icmp-echo-reply,TCP,2112,3605,1.969,0,0.309,4,2,benign
A00096,et-scan-portscan,TCP,42570,3484,16.993,13,0.742,398,5,attack
A00097,et-dos-synflood,UDP,115264,6096,29.54,25,0.95,150,5,attack
A00098,dns-query-normal,TCP,1973,1414,1.052,1,0.151,4,2,benign
A00099,et-malware-c2-beacon,TCP,88800,2438,20.5,11,0.741,474,5,attack
A00100,policy-allowed-http,TCP,1712,2486,4.993,1,0.084,4,1,benign
A00101,policy-allowed-http,TCP,2327,785,0.257,0,0.396,33,1,benign
A00102,policy-allowed-http,TCP,1255,3888,3.777,0,0.428,7,1,benign
A00103,policy-allowed-http,TCP,925,1386,23.303,1,0.157,9,1,benign
A00104,icmp-echo-reply,UDP,1456,7163,2.144,1,0.255,12,2,benign
A00105,policy-allowed-http,TCP,1737,3525,24.846,0,0.171,32,1,benign
A00106,et-malware-c2-beacon,TCP,120664,5697,11.848,11,0.817,313,4,attack
A00107,dns-query-normal,TCP,1277,3810,26.899,0,0.368,39,1,benign
A00108,et-scan-portscan,UDP,221106,1112,12.248,36,0.928,354,5,attack
A00109,et-exploit-sql-injection,TCP,226217,2107,9.164,22,0.721,299,4,attack
A00110,et-exploit-sql-injection,TCP,43555,4188,18.196,27,0.872,303,5,attack
A00111,policy-allowed-http,ICMP,2167,5912,6.192,1,0.403,33,1,benign
A00112,et-scan-portscan,TCP,188040,1554,27.943,26,0.953,93,3,attack
A00113,dns-query-normal,TCP,1021,1887,4.98,1,0.216,36,2,benign
A00114,et-scan-portscan,UDP,32592,2251,7.323,27,0.776,333,3,attack
A00115,tls-handshake-ok,TCP,1194,3317,5.517,0,0.49,4,1,benign
A00116,policy-allowed-http,UDP,1622,6540,24.634,0,0.309,38,2,benign
A00117,et-bruteforce-ssh,TCP,244944,5532,7.426,16,0.881,187,5,attack
A00118,et-scan-portscan,UDP,247596,1001,0.859,19,0.7,299,5,attack
A00119,dns-query-normal,TCP,1320,3924,2.959,0,0.463,28,1,benign
A00120,icmp-echo-reply,TCP,2194,3233,11.084,0,0.065,5,1,benign
A00121,tls-handshake-ok,UDP,1931,2020,20.287,1,0.189,34,2,benign
A00122,policy-allowed-http,UDP,2674,10995,0.213,0,0.122,12,1,benign
A00123,policy-allowed-http,TCP,1397,12978,26.981,1,0.424,4,2,benign
A00124,et-scan-portscan,TCP,181911,2270,0.954,6,0.645,305,3,attack
A00125,et-scan-portscan,ICMP,68004,2290,4.851,25,0.931,327,5,attack
A00126,et-malware-c2-beacon,UDP,145835,9203,15.509,6,0.903,364,5,attack
A00127,policy-allowed-http,TCP,485,6184,21.294,0,0.167,1,1,benign
A00128,et-malware-c2-beacon,TCP,163998,5777,28.624,11,0.983,438,4,attack
A00129,icmp-echo-reply,TCP,1661,2479,14.835,0,0.186,8,1,benign
A00130,policy-allowed-http,TCP,1787,2886,10.575,1,0.136,17,1,benign
A00131,et-dos-synflood,TCP,311306,4844,18.431,36,0.626,216,3,attack
A00132,dns-query-normal,TCP,532,2520,7.243,0,0.38,20,2,benign
A00133,et-dos-synflood,TCP,38351,10857,8.168,36,0.989,386,4,attack
A00134,dns-query-normal,TCP,434,2014,4.176,1,0.071,30,2,benign
A00135,policy-allowed-http,TCP,2138,3140,13.687,0,0.098,36,1,benign
A00136,et-exploit-sql-injection,TCP,198253,3261,14.004,5,0.735,121,3,attack
A00137,dns-query-normal,TCP,1179,3056,29.166,0,0.388,13,1,benign
A00138,et-malware-c2-beacon,TCP,97095,3299,4.703,17,0.819,268,5,attack
A00139,et-malware-c2-beacon,TCP,174552,1610,1.329,35,0.75,150,3,attack
A00140,et-bruteforce-ssh,UDP,55199,1268,18.664,23,0.835,440,5,attack
A00141,dns-query-normal,TCP,598,5130,19.45,1,0.08,16,2,benign
A00142,policy-allowed-http,TCP,3264,4245,1.99,1,0.251,7,1,benign
A00143,icmp-echo-reply,TCP,1531,2380,13.14,1,0.162,37,1,benign
A00144,policy-allowed-http,TCP,1648,1264,26.173,0,0.297,29,2,benign
A00145,policy-allowed-http,UDP,2841,3333,24.753,0,0.479,25,1,benign
A00146,et-scan-portscan,TCP,471745,2694,15.274,15,0.647,475,4,attack
A00147,icmp-echo-reply,TCP,3000,2529,1.386,1,0.301,6,2,benign
A00148,dns-query-normal,UDP,796,4208,9.209,1,0.24,8,2,benign
A00149,et-malware-c2-beacon,TCP,303984,6077,2.83,28,0.661,349,4,attack
A00150,icmp-echo-reply,TCP,1656,4841,19.611,0,0.444,17,2,benign
A00151,et-exploit-sql-injection,TCP,98859,3454,0.461,5,0.899,492,4,attack
A00152,icmp-echo-reply,TCP,722,4417,15.913,0,0.201,27,1,benign
A00153,et-malware-c2-beacon,TCP,203930,2784,2.393,24,0.94,231,4,attack
A00154,et-malware-c2-beacon,TCP,390071,4743,29.663,5,0.661,474,4,attack
A00155,icmp-echo-reply,UDP,2295,2419,2.774,1,0.164,31,1,benign
A00156,icmp-echo-reply,TCP,3997,1455,5.982,1,0.255,35,1,benign
A00157,policy-allowed-http,TCP,870,1128,6.036,1,0.376,19,2,benign
A00158,tls-handshake-ok,TCP,4235,2073,24.216,0,0.073,15,2,benign
A00159,dns-query-normal,TCP,3839,3523,13.93,0,0.089,37,2,benign
A00160,policy-allowed-http,UDP,1842,4235,11.519,1,0.324,9,2,benign
A00161,dns-query-normal,TCP,1494,16165,23.131,1,0.195,29,1,benign
A00162,et-bruteforce-ssh,TCP,15480,2444,15.777,19,0.81,173,4,attack
A00163,tls-handshake-ok,TCP,794,1421,7.73,1,0.297,10,1,benign
A00164,icmp-echo-reply,UDP,1879,1540,12.426,1,0.401,39,1,benign
A00165,policy-allowed-http,TCP,1233,5826,26.391,0,0.18,8,2,benign
A00166,et-scan-portscan,TCP,453903,15082,24.358,5,0.747,125,3,attack
A00167,dns-query-normal,TCP,3004,4939,26.521,0,0.463,35,1,benign
A00168,et-dos-synflood,ICMP,283259,5749,27.486,16,0.968,279,3,attack
A00169,dns-query-normal,TCP,1223,2139,17.722,0,0.166,27,1,benign
A00170,tls-handshake-ok,TCP,1557,3553,21.449,0,0.155,33,2,benign
A00171,dns-query-normal,UDP,897,1699,16.592,1,0.183,34,2,benign
A00172,tls-handshake-ok,TCP,643,1698,21.725,0,0.249,27,1,benign
A00173,icmp-echo-reply,TCP,1143,2558,28.089,0,0.459,29,2,benign
A00174,policy-allowed-http,TCP,995,2080,9.907,0,0.315,1,2,benign
A00175,policy-allowed-http,TCP,1136,1078,16.646,0,0.105,39,2,benign
A00176,policy-allowed-http,UDP,1151,3512,1.549,0,0.169,5,1,benign
A00177,policy-allowed-http,TCP,1026,2156,2.882,0,0.086,6,1,benign
A00178,et-dos-synflood,UDP,271027,1255,6.634,30,0.954,267,5,attack
A00179,et-scan-portscan,TCP,2610575,1153,14.707,39,0.747,224,4,attack
A00180,et-scan-portscan,UDP,51991,2470,8.071,4,0.642,209,3,attack
A00181,et-bruteforce-ssh,TCP,201053,2496,1.168,10,0.719,54,5,attack
A00182,tls-handshake-ok,TCP,1696,8701,5.033,1,0.234,26,1,benign
A00183,icmp-echo-reply,TCP,1904,4358,6.187,0,0.429,38,1,benign
A00184,dns-query-normal,TCP,2900,2113,22.964,0,0.293,25,1,benign
A00185,dns-query-normal,TCP,5418,1103,1.379,1,0.081,34,1,benign
A00186,dns-query-normal,ICMP,1329,2188,21.866,1,0.107,18,1,benign
A00187,et-bruteforce-ssh,TCP,273457,6142,24.702,23,0.973,52,5,attack
A00188,dns-query-normal,ICMP,1340,4615,27.993,0,0.137,1,2,benign
A00189,policy-allowed-http,TCP,4393,3838,22.675,1,0.179,30,2,benign
A00190,icmp-echo-reply,TCP,1176,8120,7.168,0,0.218,27,2,benign
A00191,dns-query-normal,TCP,760,6679,8.262,0,0.311,10,2,benign
A00192,icmp-echo-reply,TCP,2483,3478,6.458,0,0.08,25,1,benign
A00193,icmp-echo-reply,TCP,1734,5512,10.862,0,0.431,26,1,benign
A00194,dns-query-normal,TCP,1606,1348,14.311,0,0.269,3,1,benign
A00195,policy-allowed-http,UDP,978,3379,8.071,0,0.486,18,1,benign
A00196,dns-query-normal,TCP,1300,2142,26.099,0,0.152,13,1,benign
A00197,dns-query-normal,TCP,3968,4555,6.433,1,0.191,7,1,benign
A00198,et-scan-portscan,TCP,21423,1451,21.531,23,0.693,380,4,attack
A00199,dns-query-normal,TCP,1037,6826,24.189,0,0.264,1,2,benign
A00200,tls-handshake-ok,TCP,3132,4374,12.612,1,0.255,38,1,benign
A00201,icmp-echo-reply,TCP,728,4406,4.304,0,0.172,17,2,benign
A00202,tls-handshake-ok,ICMP,2328,5865,17.114,1,0.318,29,1,benign
A00203,policy-allowed-http,TCP,2257,2925,0.373,1,0.34,14,1,benign
A00204,et-scan-portscan,TCP,163574,2092,25.595,34,0.943,197,4,attack
A00205,tls-handshake-ok,UDP,2575,935,11.588,0,0.213,38,2,benign
A00206,et-exploit-sql-injection,TCP,68076,8089,1.282,5,0.813,300,3,attack
A00207,et-scan-portscan,TCP,813553,2537,25.736,27,0.943,79,5,attack
A00208,dns-query-normal,ICMP,1296,2129,5.925,0,0.22,39,1,benign
A00209,tls-handshake-ok,TCP,2087,12002,7.493,1,0.445,30,1,benign
A00210,tls-handshake-ok,UDP,850,1320,20.648,0,0.115,13,1,benign
A00211,et-bruteforce-ssh,TCP,80072,1793,21.273,27,0.925,487,5,attack
A00212,dns-query-normal,UDP,1675,21597,26.365,1,0.187,14,2,benign
A00213,dns-query-normal,TCP,3310,618,17.426,0,0.143,39,1,benign
A00214,policy-allowed-http,ICMP,1694,3131,17.492,1,0.122,24,1,benign
A00215,et-bruteforce-ssh,UDP,82512,6408,0.789,8,0.884,227,3,attack
A00216,et-malware-c2-beacon,ICMP,225757,764,25.075,11,0.85,474,5,attack
A00217,policy-allowed-http,TCP,1891,5156,12.912,0,0.275,29,2,benign
A00218,icmp-echo-reply,UDP,990,1845,20.612,1,0.198,39,1,benign
A00219,et-exploit-sql-injection,TCP,71447,830,18.344,30,0.936,175,5,attack
A00220,et-dos-synflood,TCP,116559,4597,5.451,39,0.618,350,5,attack
A00221,et-bruteforce-ssh,TCP,150711,4294,11.346,20,0.775,144,5,attack
A00222,et-dos-synflood,TCP,332069,918,3.64,29,0.864,87,4,attack
A00223,et-dos-synflood,UDP,49224,3835,19.165,16,0.855,259,4,attack
A00224,icmp-echo-reply,TCP,1108,15433,12.686,0,0.101,27,2,benign
A00225,icmp-echo-reply,TCP,2918,3995,1.27,0,0.154,28,1,benign
A00226,icmp-echo-reply,TCP,5468,4223,26.784,0,0.276,9,1,benign
A00227,icmp-echo-reply,TCP,464,3610,9.455,0,0.398,32,1,benign
A00228,tls-handshake-ok,TCP,3257,9579,28.974,1,0.273,39,1,benign
A00229,icmp-echo-reply,TCP,2926,3484,7.179,0,0.208,5,1,benign
A00230,dns-query-normal,TCP,2325,2172,16.386,0,0.38,26,2,benign
A00231,tls-handshake-ok,TCP,889,2613,14.055,1,0.105,15,2,benign
A00232,dns-query-normal,TCP,1977,12088,28.401,0,0.412,13,2,benign
A00233,dns-query-normal,TCP,2741,2871,11.325,1,0.478,15,1,benign
A00234,tls-handshake-ok,ICMP,2943,992,23.855,1,0.358,34,2,benign
A00235,dns-query-normal,TCP,3327,1433,16.857,0,0.226,31,2,benign
A00236,dns-query-normal,TCP,1344,2782,6.343,1,0.173,7,1,benign
A00237,tls-handshake-ok,TCP,2314,5821,29.304,1,0.331,14,1,benign
A00238,et-malware-c2-beacon,TCP,184712,2899,21.716,17,0.92,345,3,attack
A00239,et-exploit-sql-injection,TCP,264487,671,27.622,15,0.612,327,3,attack
A00240,et-scan-portscan,TCP,265046,840,15.229,39,0.703,161,4,attack
A00241,policy-allowed-http,TCP,3049,2546,23.834,0,0.248,29,2,benign
A00242,et-scan-portscan,TCP,737158,12550,28.539,35,0.812,311,5,attack
A00243,et-dos-synflood,TCP,1130086,10862,16.216,34,0.775,213,3,attack
A00244,icmp-echo-reply,TCP,1940,3761,27.737,1,0.051,20,2,benign
A00245,policy-allowed-http,TCP,1551,2459,9.884,0,0.433,14,1,benign
A00246,tls-handshake-ok,TCP,1237,3992,20.049,0,0.185,18,2,benign
A00247,dns-query-normal,TCP,940,1741,19.137,1,0.059,27,2,benign
A00248,policy-allowed-http,TCP,858,4150,19.016,0,0.209,35,1,benign
A00249,tls-handshake-ok,TCP,1308,4095,28.288,1,0.067,27,1,benign
A00250,dns-query-normal,ICMP,3527,4568,20.372,0,0.079,2,2,benign
A00251,et-malware-c2-beacon,ICMP,131514,3265,10.74,37,0.769,443,4,attack
A00252,tls-handshake-ok,UDP,2152,8211,27.467,1,0.158,20,1,benign
A00253,policy-allowed-http,TCP,2637,27002,20.655,0,0.155,15,1,benign
A00254,dns-query-normal,TCP,3661,1838,25.951,0,0.099,27,2,benign
A00255,tls-handshake-ok,TCP,7461,4837,25.9,1,0.139,11,2,benign
A00256,policy-allowed-http,TCP,1965,7672,27.257,0,0.425,6,2,benign
A00257,icmp-echo-reply,TCP,907,3318,20.857,0,0.201,15,2,benign
A00258,et-bruteforce-ssh,TCP,365072,2019,21.496,20,0.86,419,3,attack
A00259,tls-handshake-ok,TCP,1216,2264,12.727,0,0.427,7,1,benign
A00260,dns-query-normal,UDP,5382,2729,18.206,1,0.191,3,1,benign
A00261,tls-handshake-ok,TCP,6588,3534,4.06,0,0.341,22,1,benign
A00262,et-malware-c2-beacon,TCP,134185,2161,0.794,8,0.959,370,3,attack
A00263,policy-allowed-http,ICMP,843,3461,23.971,0,0.143,26,1,benign
A00264,tls-handshake-ok,TCP,809,3259,23.419,1,0.314,17,2,benign
A00265,et-bruteforce-ssh,TCP,104472,3846,9.382,7,0.741,319,5,attack
A00266,tls-handshake-ok,TCP,3896,3759,3.656,1,0.3,3,1,benign
A00267,tls-handshake-ok,TCP,1055,5087,5.845,0,0.123,17,1,benign
A00268,dns-query-normal,TCP,4205,11164,13.243,0,0.298,26,1,benign
A00269,policy-allowed-http,TCP,9155,4764,21.123,1,0.238,9,2,benign
A00270,tls-handshake-ok,UDP,1809,846,16.196,1,0.129,5,2,benign
A00271,tls-handshake-ok,TCP,4445,4131,12.514,0,0.464,5,1,benign
A00272,tls-handshake-ok,TCP,1984,8909,25.989,0,0.096,9,2,benign
A00273,et-malware-c2-beacon,TCP,186957,5820,28.518,22,0.854,353,3,attack
A00274,et-malware-c2-beacon,TCP,34317,3160,23.057,21,0.93,418,3,attack
A00275,icmp-echo-reply,TCP,1386,1493,1.556,1,0.19,18,1,benign
A00276,et-exploit-sql-injection,TCP,115854,2199,1.698,17,0.664,220,4,attack
A00277,dns-query-normal,TCP,2330,9255,3.212,1,0.191,31,1,benign
A00278,et-dos-synflood,TCP,459372,7143,17.771,36,0.892,378,5,attack
A00279,et-bruteforce-ssh,TCP,140769,1351,16.961,17,0.678,175,5,attack
A00280,tls-handshake-ok,UDP,979,9737,3.412,1,0.071,22,2,benign
A00281,dns-query-normal,UDP,447,1771,10.958,1,0.396,9,1,benign
A00282,dns-query-normal,TCP,1418,4680,25.097,1,0.453,7,2,benign
A00283,et-bruteforce-ssh,UDP,91980,1948,16.651,35,0.62,172,3,attack
A00284,policy-allowed-http,TCP,1590,2431,9.302,1,0.358,8,2,benign
A00285,et-bruteforce-ssh,TCP,59945,2621,25.118,8,0.756,258,3,attack
A00286,icmp-echo-reply,TCP,865,2071,16.206,0,0.089,15,2,benign
A00287,tls-handshake-ok,TCP,1177,3657,21.854,0,0.345,9,2,benign
A00288,icmp-echo-reply,TCP,9870,1787,23.45,1,0.331,31,2,benign
A00289,icmp-echo-reply,TCP,6942,9553,14.687,0,0.077,18,2,benign
A00290,et-exploit-sql-injection,TCP,67984,15690,19.619,25,0.763,291,3,attack
A00291,tls-handshake-ok,TCP,1875,11133,4.842,1,0.368,35,2,benign
A00292,et-scan-portscan,TCP,266327,10805,24.462,3,0.615,93,5,attack
A00293,tls-handshake-ok,TCP,1919,3492,0.077,1,0.177,5,2,benign
A00294,dns-query-normal,TCP,2135,1726,6.672,1,0.082,11,2,benign
A00295,dns-query-normal,TCP,3821,3267,23.126,1,0.152,26,1,benign
A00296,et-exploit-sql-injection,TCP,48435,5411,17.184,27,0.951,133,3,attack
A00297,et-malware-c2-beacon,TCP,326647,2735,29.283,27,0.988,482,5,attack
A00298,icmp-echo-reply,TCP,567,10598,25.578,0,0.221,16,2,benign
A00299,policy-allowed-http,TCP,1394,3778,23.157,1,0.433,32,2,benign
A00300,et-scan-portscan,ICMP,268038,10227,8.267,32,0.799,56,4,attack
A00301,tls-handshake-ok,TCP,1942,2565,5.191,0,0.458,37,1,benign
A00302,tls-handshake-ok,TCP,1045,6848,16.772,0,0.232,24,1,benign
A00303,dns-query-normal,UDP,2373,4911,12.158,0,0.088,24,1,benign
A00304,policy-allowed-http,TCP,435,1350,12.151,0,0.181,18,2,benign
A00305,dns-query-normal,ICMP,1504,5778,28.356,0,0.26,21,1,benign
A00306,tls-handshake-ok,TCP,2220,4479,29.909,0,0.475,39,1,benign
A00307,tls-handshake-ok,UDP,1040,1303,27.276,0,0.295,23,2,benign
A00308,icmp-echo-reply,TCP,2228,3250,1.67,0,0.098,16,2,benign
A00309,et-exploit-sql-injection,TCP,121123,3727,13.804,37,0.968,430,5,attack
A00310,et-malware-c2-beacon,UDP,202761,3627,7.171,18,0.913,482,5,attack
A00311,et-malware-c2-beacon,TCP,78956,7122,13.153,28,0.64,427,4,attack
A00312,dns-query-normal,UDP,641,683,24.009,0,0.447,36,1,benign
A00313,tls-handshake-ok,TCP,3148,1037,1.166,0,0.18,37,2,benign
A00314,tls-handshake-ok,UDP,5504,1528,27.375,0,0.393,22,1,benign
A00315,policy-allowed-http,TCP,3727,4307,27.547,1,0.261,25,1,benign
A00316,et-dos-synflood,TCP,144432,3234,28.432,10,0.813,105,5,attack
A00317,dns-query-normal,UDP,2705,367,9.684,0,0.174,4,1,benign
A00318,dns-query-normal,UDP,4921,3825,3.051,1,0.43,31,1,benign
A00319,et-scan-portscan,TCP,80209,3705,1.268,29,0.627,368,4,attack
A00320,policy-allowed-http,UDP,1717,1032,9.985,1,0.319,28,2,benign
A00321,icmp-echo-reply,TCP,1820,1688,11.821,0,0.132,2,2,benign
A00322,policy-allowed-http,UDP,2245,2001,9.047,1,0.417,8,1,benign
A00323,icmp-echo-reply,TCP,1452,2230,29.701,0,0.056,11,2,benign
A00324,tls-handshake-ok,TCP,3505,229,27.317,0,0.478,3,2,benign
A00325,et-bruteforce-ssh,UDP,110195,3210,12.991,16,0.986,57,5,attack
A00326,icmp-echo-reply,TCP,1741,10284,22.251,0,0.289,19,1,benign
A00327,icmp-echo-reply,TCP,1735,8239,28.594,1,0.156,7,1,benign
A00328,et-bruteforce-ssh,TCP,144740,9431,5.44,26,0.785,428,5,attack
A00329,dns-query-normal,UDP,1049,1541,3.616,0,0.492,15,2,benign
A00330,dns-query-normal,TCP,2596,5215,24.616,0,0.104,37,1,benign
A00331,tls-handshake-ok,TCP,4216,11404,11.515,0,0.232,11,2,benign
A00332,policy-allowed-http,TCP,2916,1485,15.733,0,0.225,38,1,benign
A00333,icmp-echo-reply,TCP,1746,1285,0.781,0,0.19,16,1,benign
A00334,icmp-echo-reply,UDP,1949,2948,12.738,0,0.292,37,1,benign
A00335,dns-query-normal,TCP,1921,3074,27.444,0,0.359,3,1,benign
A00336,et-scan-portscan,TCP,235777,2148,5.875,28,0.902,310,4,attack
A00337,dns-query-normal,TCP,1093,2450,27.308,0,0.104,26,2,benign
A00338,icmp-echo-reply,UDP,1921,6707,20.425,0,0.474,23,2,benign
A00339,icmp-echo-reply,ICMP,1414,2644,11.506,0,0.194,31,1,benign
A00340,policy-allowed-http,TCP,1190,5286,22.334,1,0.165,7,1,benign
A00341,tls-handshake-ok,TCP,1124,1678,10.986,1,0.114,8,1,benign
